date,workout,energy burned (cal)
2025-04-16T07:24:29+1000,Traditional Strength Training,145.0
2025-04-16T06:40:10+1000,Walking,132.0
2025-04-15T07:10:06+1000,Walking,178.0
2025-04-15T06:37:57+1000,Walking,131.0
2025-04-14T07:32:01+1000,Traditional Strength Training,180.0
2025-04-13T11:04:48+1000,Tennis,410.0
2025-04-12T08:27:19+1000,Walking,90.0
2025-04-12T07:49:10+1000,Traditional Strength Training,139.0
2025-04-12T07:09:54+1000,Walking,131.0
2025-04-11T07:00:23+1000,Traditional Strength Training,200.0
2025-04-08T07:21:26+1000,Walking,119.0
2025-04-08T06:40:20+1000,Walking,127.0
2025-04-03T07:07:17+1000,Walking,196.0
2025-04-02T07:10:29+1000,Traditional Strength Training,186.0
2025-04-01T07:11:12+1000,Walking,206.0
2025-03-31T07:36:25+1000,Traditional Strength Training,292.0
2025-03-31T06:35:04+1000,Walking,117.0
2025-03-29T07:59:25+1000,Walking,350.0
2025-03-28T07:08:30+1000,Traditional Strength Training,193.0
2025-03-26T07:37:40+1000,Traditional Strength Training,241.0
2025-03-26T06:41:34+1000,Walking,91.0
2025-03-25T07:23:38+1000,Walking,141.0
2025-03-22T07:54:52+1000,Walking,178.0
2025-03-22T07:18:40+1000,Walking,125.0
2025-03-21T07:39:29+1000,Traditional Strength Training,342.0
2025-03-20T07:28:08+1000,Walking,140.0
2025-03-19T07:45:33+1000,Traditional Strength Training,292.0
2025-03-18T07:23:55+1000,Walking,203.0
2025-03-17T06:40:09+1000,Walking,99.0
2025-03-15T07:29:28+1000,Traditional Strength Training,142.0
2025-03-14T14:00:57+1000,Walking,35.0
2025-03-14T07:24:03+1000,Traditional Strength Training,190.0
2025-03-13T07:17:06+1000,Walking,117.0
2025-03-12T07:27:45+1000,Traditional Strength Training,172.0
2025-03-12T06:42:06+1000,Walking,130.0
2025-03-11T07:27:35+1000,Walking,248.0
2025-03-11T06:35:54+1000,Walking,128.0
2025-03-06T07:34:39+1000,Walking,204.0
2025-03-06T06:45:38+1000,Walking,94.0
2025-03-05T07:07:10+1000,Traditional Strength Training,170.0
2025-03-04T07:23:53+1000,Walking,79.0
2025-03-04T06:35:31+1000,Walking,131.0
2025-03-03T07:28:20+1000,Traditional Strength Training,187.0
2025-03-03T06:36:10+1000,Walking,129.0
2025-03-02T10:34:42+1000,Walking,288.0
2025-03-01T08:59:27+1000,Walking,231.0
2025-02-27T07:24:02+1000,Walking,171.0
2025-02-27T06:33:43+1000,Walking,131.0
2025-02-26T06:34:28+1000,Walking,132.0
2025-02-25T07:22:03+1000,Walking,295.0
2025-02-25T06:34:29+1000,Walking,126.0
2025-02-24T07:22:46+1000,Traditional Strength Training,195.0
2025-02-24T06:38:20+1000,Walking,125.0
2025-02-23T11:11:03+1000,Walking,509.0
